id,title,artist,color,spotify_uri,youtube_id
62,"Rosa himmel (från ""Störst av allt"")",Molly Sandén,Pink,3xkGJKpWrn1n6Bk2m84bJP,YnG-Qesdw6w
63,Rosalita,Barbados,Pink,4QxXNdCrDS9FhBNOJBiXBt,u1weOkFXxko
64,Pink Panther Theme,Henry Mancini,Pink,1QPRmX2e3EZWskuOe5QqxM,VyZiIuMufTA
65,Jag vet en dejlig rosa,Östergötlands Sinfonietta,Pink,7AaEsJxX8uD8UwGxwopwkB,NwseNcQcU2U
66,American Idiot,Green Day,Green,6nTiIhLmQ3FWhvrGafw2zj,VyV54YwPAkk
67,Let's Stay Together,Al Green,Green,63xdwScd1Ai1GigAwQxE8y,EKOcfZtKvYQ
68,Forget You,CeeLo Green,Green,3ydfhgIZIc2j39NLIhpJpq,bKxodgpyGec
69,Green Onions,Booker T. & the M.G.'s,Green,4fQMGlCawbTkH9yPPZ49kP,WoxVv7kgv08
70,Green Green Grass Of Home,Tom Jones,Green,5BFWQXNGPYadZxNKxY1UfU,EmT1ptv3VEc
71,Håll om mig,Nanne,Green,6LjXwyNIh30VWsnvT8JHhz,6k_QqFl6IYQ
72,Gröna små äpplen,Monica Zetterlund,Green,0dtE42FDoz08Aa9i7EWUI2,dTfHgn-Pqnc
73,En vänlig grönskas rika dräkt,"Waldemar Ahlén, Göteborg Wind Orchestra, Jerker Johansson",Green,4x27MqORVfG6mnAvzYBDmE,xopNx8lNDzw
74,Guld och gröna skogar,Hasse Andersson,Green;Gold,6EnNjWkk1YX3fsTXtwO773,Ir_c3Zu-SKk
75,Du Ä I Svartlien / You´re In The Army,Pistvakt,Black,1mxjIEFExDyB7Fpo9tBP2z,RlGa0viiZgU
76,Blåmärkshårt (Mi Amor),Miriam Bryant,Blue,2qKtQuFukH2d0m3FNROcqH,rDcskmG90Uc
77,Greyhound,Swedish House Mafia,Gray,0VffaI2jwQknRrxpECYHsF,IVeNyCiB6EA
78,Brown Eyed Girl,Van Morrison,Brown,3yrSvpt2l1xhsV9Em88Pul,yZ-VUnIehi8
79,I Got You (I Feel Good),James Brown,Brown,2LZdFnXIXuky0S0Jhdl4Qz,iSLwVaebsJg
80,Brown Eyed Lover,Allen Stone,Brown,4nUUEqMxXVFbvvMuK1BS7R,I5_1SaOxaW0
81,Just the Way You Are,Bruno Mars,Brown,47Slg6LuqLaX0VodpSCvPt,HBzyuCda2RI
82,24K Magic,Bruno Mars,Gold;Brown,6b8Be6ljOzmkOmFslEb23P,r7-A9NqUjRI
83,Leende guldbruna ögon,Vikingarna,Gold;Brown,1ln7runLcw91fAzCRfe8FS,p1d9aamYR1A
84,All My Tears,Ane Brun,Brown,2UZ8C6abrCuhjelaK1MFz1,EmDCHD6Bnc4
85,Purple Rain,Prince,Purple,54X78diSLoUDI3joC2bjMz,347vCib_lMs
86,Purple Haze,Jimi Hendrix,Purple,0wJoRiX5K5BxlqZTolB2LD,cbG7HEEPE1o
87,Smoke On The Water - Remastered 2012,Deep Purple,Purple,5MMnwYs0hIxkENRsbkWJ2G,1L3XxUxEb6U
88,Guldet blev till sand,"Benny Andersson, Peter Jöback, Malmö Musikteaters kör & ork",Gold,3RAEe0NUK1XsVJt8bhqk2l,w9DephiEFGk
89,När vi gräver guld i USA,Glenmark Eriksson Strömstedt,Gold,3iAJRvvn8pywXZtvBNNP71,7YOzs-dD8qU
90,Orange Colored Sky,Nat King Cole,Orange,6fUDNcmsnnUVyOtEnA9xdC,c3e-3kvhSTU
91,Orange Crush,R.E.M.,Orange,1IaRzQWu9or5U9G1DTukF7,j12kusJqDQs
92,Gold,Spandau Ballet,Gold,2X9fsxb6O6bYEopJYmUbNC,3VYgLmHIbls
93,Gold Digger,"Kanye West, Jamie Foxx",Gold,1PS1QMdUqOal0ai3Gt7sDQ,uVL4d8P44eM
94,Goldfinger,Shirley Bassey,Gold,7r0EUONfPUZ8SD1vu4ro27,Tvl8KH6WBO8
95,Golden Slumbers - Remastered 2009,The Beatles,Gold,01SfTM5nfCou5gQL70r6gs,AcQjM7gV6mI
96,Goldeneye,Tina Turner,Gold,528QhCT2v3HgD71RmrSUNW,1_Aq5rQdPso
97,My Silver Lining,First Aid Kit,Silver,6tCLQ3LO1V9l6qdrrwdV6q,zTByLCLu6NI
98,Silverland,Roger Pontare,Silver,3gVfeNhxA962nnstAFw9Or,xjYDW9Ui0PY
99,Silver Springs - 2004 Remaster,Fleetwood Mac,Silver,4nZi6XNe36Ut4Nij3IQ1yC,kVE4aOUX2iM
100,Edge of Seventeen,Stevie Nicks,White,2id8E4WvczfKHB4LHI7Np3,3oZunnY-Cbs
101,White Foxes,Susanne Sundfør,White,3LXzqwjJWhoHYIScm4JHY8,i5xEvl3KhmE
102,Vita vidder,Family Four,White,0xC2WfHIDroVb1FXHsyrLI,YH_zzz8r9ME
103,Min gamla gula flygmaskin,Streaplers,Yellow,5caSv6o405fHR7DR93gapW,shkEh_Yy28s
104,Californication,Red Hot Chili Peppers,Red,48UPSzbZjgc449aqz8bxox,A__cH65WRvE
105,Green Lights,Aloe Blacc,Green;Black,4TpLEv67PQoTfCdNwNqiE4,nS05wq7c5As
106,Green Light,Beyoncé,Green,3JdDBUiZ1UJv7J7RQqxEFF,mbiaNB1MK6M
107,Lilla fågel blå,Staffan Hellstrand,Blue,24LPjYUpC28ODnHNx25kqo,WpJ95dt0cmo
108,Dolce vita (Det ljuva livet),Noice,White,6lGwWivvLuHZxpdSdCKuFx,70j3ywpO7Qo
109,Mr. Blue Sky,Electric Light Orchestra,Blue,2RlgNHKcydI9sayD2Df2xp,wuJIqmha2Hk
110,Fields Of Gold,Sting,Gold,0I1DJdLt9BKOb7GWmWxCjo,_Am11wcyXig
111,Spirit In The Sky,Norman Greenbaum,Green,0r2RpSySXGsKSL3OPj2UYt,ulukbcxuC8o
112,White Room,Cream,White,3Xls4cNOwy01dtrNXb1inG,xGxhECBbw08
113,Blue Monday,New Order,Blue,6hHc7Pks7wtBIW8Z6A0iFq,R1MBI2tSHe0
114,Big Yellow Taxi,Joni Mitchell,Yellow,6UkMcAA19lTdjs22jtB7o2,NhxZ8ok3Z2o
115,Behind Blue Eyes,Limp Bizkit,Blue,1MTQHCpraD4S8g5PAFKzoj,ozllPih3hOk
116,Blue Jeans,Lana Del Rey,Blue,4RyK6N4IQ85xxLgguQAFH5,hqQeRUg6U3w
117,Black Dog - Remaster,Led Zeppelin,Black,3qT4bUD1MaWpGrTwcvguhb,yBuub4Xe1mw
118,Ooa hela natten,Attack,Pink,2pa73fbZD7ltJ09AB0Teox,hH-41XkHooI
119,Blue Ain't Your Color,Keith Urban,Blue,2CxmktXqJwP9KZv6WJtZCm,NI03Degy1ms
120,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,Pink,7rPzEczIS574IgPaiPieS3,zz8frWcmthA
121,La Dolce Vita,After Dark,White,1b5yFVBwIbjKI2TULxtDoC,Y2XOdBFo3rQ
